Узнавай, когда ответ готов — удобным для тебя способом.	Know when a reply is ready, your way.
Настройки доступны через значок рядом с часами.	Open settings from the tray icon next to the clock.
Настройки доступны через значок в строке меню.	Open settings from the menu bar icon.
Да · Дальше · Делай — в большой карточке	Yes · Continue · Do it — in the expanded card
В чате уже есть черновик. Проверь его перед отправкой.	This task already has a draft. Review it before sending.
В чате уже есть черновик. Он не заменён.	This task already has a draft. It was not replaced.
Не удалось подготовить ответ. Открой чат вручную.	Could not prepare the reply. Open the task manually.
Не удалось подтвердить отправку. Проверь чат, прежде чем повторять.	Sending was not confirmed. Check the task before trying again.
Автоотправка не выполнена. Проверь текст и отправь вручную.	Auto-send did not complete. Review the text and send manually.
Отправка отменена из-за нового ввода. Проверь текст в чате.	Sending cancelled because of new input. Check the task draft.
Не удалось открыть чат. Уведомление сохранено.	Could not open the task. The notification was kept.
Не удалось определить задачу.	Could not identify the task.
Неизвестный быстрый ответ.	Unknown quick reply.
Не удалось проверить активность ввода.	Could not verify input activity.
Не удалось сохранить настройки.	Could not save settings.
Тест завершён. При обычном уведомлении откроется Codex.	Test finished. A real notification would open Codex.
Тестовое уведомление показано возле часов.	Test notification shown near the clock.
Уведомление скрыто · открытие отменено	Notification dismissed · opening cancelled
Уведомление скрыто · демонстрация	Notification dismissed · preview
Чат открыт · демонстрация	Task opened · preview
Codex открыт · нажми «Увидел»	Codex opened · click Got it
Автоматическое открытие отменено	Automatic opening cancelled
Открытие по нажатию	Open manually
Быстрый ответ · отправить сразу	Quick reply · send immediately
Быстрый ответ · вставить для проверки	Quick reply · insert for review
Проверка уведомления — откроется окно Codex	Notification test — opens Codex
Проверка длинного названия задачи	A sample task with a longer title
Открываю задачу и готовлю отправку…	Opening task and preparing to send…
Открываю задачу и вставляю текст…	Opening task and inserting text…
Ожидаю подтверждения отправки…	Waiting for sending confirmation…
Приложение Codex не найдено. Открой чат вручную.	Codex was not found. Open the task manually.
Не удалось проверить черновик. Открой чат вручную.	Could not check the draft. Open the task manually.
Открываю задачу и вставляю ответ…	Opening task and inserting reply…
Не удалось открыть Codex.	Could not open Codex.
Текст оставлен для проверки. Для автоотправки разреши управление в настройках универсального доступа.	Review the text manually. Allow Accessibility access to enable auto-send.
Не удалось подтвердить ввод. Проверь чат перед повтором.	Could not confirm the text. Check the task before retrying.
Ответ вставлен для проверки.	Reply inserted for review.
Фокус изменился. Ответ оставлен для проверки.	Focus changed. Review the reply manually.
Ввод изменился. Отправь сообщение вручную.	New input detected. Send the reply manually.
Фокус или ввод изменился. Отправь сообщение вручную.	Focus or input changed. Send the reply manually.
Отпусти клавиши-модификаторы и отправь сообщение вручную.	Release modifier keys and send the reply manually.
Отправка запрошена. Ожидаю начала задачи…	Send requested. Waiting for the task to start…
Отправка не подтверждена. Проверь чат перед повтором.	Sending was not confirmed. Check the task before retrying.
Начало задачи не подтверждено. Проверь чат перед повтором.	Task start was not confirmed. Check the task before retrying.
Сначала запусти Codex и создай локальную задачу. Затем выбери «Подключиться заново» в меню.	Start Codex and create a local task, then select Reconnect in the menu.
Не удалось подключить отслеживание файлов.	Could not connect the file monitor.
Не удалось запустить отслеживание файлов.	Could not start the file monitor.
Не удалось прочитать обновление журнала. Следующая запись будет проверена повторно.	Could not read the log update. The next write will be checked again.
Подтверди автозапуск в Системных настройках → Основные → Объекты входа.	Approve login startup in System Settings → General → Login Items.
Тест завершён. Настоящий чат не открыт.	Test finished. No real task was opened.
Для вставки и отправки macOS требует разрешение в разделе «Универсальный доступ».	Inserting and sending replies requires Accessibility permission on macOS.
Сборка требует macOS и Xcode.	Building requires macOS and Xcode.
Открой Xcode, заверши настройку и выбери Command Line Tools в Xcode → Settings → Locations.	Open Xcode, finish setup and select Command Line Tools in Xcode → Settings → Locations.
